Publicado em 08/11 às 10:02;cód. 1089110506;19.900;Aceita troca,IPVA pago;Carros, vans e utilitários,MERCEDES-BENZ CLASSE A 160 ELEGANCE MEC.,MERCEDES-BENZ,Hatch,1999,69000,1.6,Gasolina,Não,Manual,Assistida,Azul,4 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Trava elétrica,Ar condicionado,Alarme,Som;Profissional;Lima Duarte;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/classe-a-160-elegance-1089110506;09/11/2022
Publicado em 01/11 às 12:11;cód. 1104278443;10.900;Aceita troca,Carro de leilão,Com multa,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN GOL SPECIAL/ SPECIAL XTREME 1.0 MI 2P,VW - VOLKSWAGEN,Hatch,1999,150000,1.0,Gasolina,Não,Manual,Hidráulica,Branco,2 portas,6;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Alarme;Particular;Guarará;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/gol-g2-1104278443;09/11/2022
Publicado em 26/10 às 11:08;cód. 1101905741;9.500;IPVA pago,Não aceita troca;Carros, vans e utilitários,FIAT PALIO EX 1.0 MPI 2P,FIAT,Hatch,1999,175000,1.0,Gasolina,Não,Manual,Elétrica,Prata,2 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/palio-muito-novo-1101905741;09/11/2022
Publicado em 25/10 às 16:27;cód. 1101585392;41.000;IPVA pago;Carros, vans e utilitários,DODGE DAKOTA SPORT 3.9 V6,DODGE,Pick-up,1999,165444,3.0 - 3.9,Gasolina,Não,Manual,Hidráulica,Branco,2 portas;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas;Vidro elétrico,Ar condicionado,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/dakota-1101585392;09/11/2022
Publicado em 25/10 às 09:42;cód. 1101385508;15.900;Aceita troca,Carro Financiado,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN KOMBI LOTAÇÃO 1.6 MPI,VW - VOLKSWAGEN,Van/Utilitário,1999,45000,1.6,Gasolina,Não,Manual,Mecânica,Branco,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Final de placa;;Particular;Matias Barbosa;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/kombi-99-1101385508;09/11/2022
Publicado em 24/10 às 19:11;cód. 1101139622;120.000;IPVA pago,Não aceita troca,Único dono;Carros, vans e utilitários,FORD F-250 XLT 4.2 180CV CD TB DIESEL,FORD,Pick-up,1999,340257,4.0 ou mais,Diesel,Não,Manual,Hidráulica,Cinza,2 portas,3;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Som;Particular;Visconde do Rio Branco;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/ford-f-250-xlt-4-2-diesel-1999-1101139622;09/11/2022
Publicado em 22/10 às 14:32;cód. 1100316004;15.000;Aceita troca,IPVA pago;Carros, vans e utilitários,FIAT STRADA WORKING 1.6 MPI 16V CS,FIAT,Pick-up,1999,142000,1.6,Gasolina,Não,Manual,Hidráulica,Verde,2 portas,5;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/estrada-99-1-6-1100316004;09/11/2022
Publicado em 19/10 às 08:02;cód. 1098752180;8.500;Aceita troca,IPVA pago;Carros, vans e utilitários,PEUGEOT 206 PASSION 1.6,PEUGEOT,Hatch,1999,160000,1.6,Gasolina,Não,Manual,Hidráulica,Cinza,4 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Trava elétrica,Alarme,Som,Sensor de ré;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/peugeot-206-1098752180;09/11/2022
Publicado em 18/10 às 23:31;cód. 1098656176;10.500;Aceita troca;Carros, vans e utilitários,GM - CHEVROLET CORSA SEDAN 1.0 MPFI 8V 71CV 4P,GM - CHEVROLET,Sedã,1999,150000,1.0,Gasolina,Não,Manual,Mecânica,Branco,4 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/corsa-1-0sedan-1999-1098656176;09/11/2022
Publicado em 17/10 às 21:48;cód. 1098129767;20.500;IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN SAVEIRO DIESEL (TODAS),VW - VOLKSWAGEN,Pick-up,1999,170000,1.6,Gasolina,Não,Manual,Mecânica,Azul,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/saveiro-99-1098129767;09/11/2022
Publicado em 15/10 às 15:08;cód. 1097284859;18.000;Não aceita troca;Carros, vans e utilitários,VW - VOLKSWAGEN KOMBI ESCOLAR 1.6 MPI,VW - VOLKSWAGEN,1999,333333,Manual,Branco,Não;Categoria,Modelo,Marca,Ano,Quilometragem,Câmbio,Cor,Kit GNV;;Particular;Tabuleiro;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/kombi-99-1097284859;09/11/2022
Publicado em 06/10 às 14:12;cód. 1093446037;65.000;IPVA pago,Não aceita troca;Carros, vans e utilitários,TOYOTA HILUX SW4 4X4 3.0 8V TB DIESEL,TOYOTA,Van/Utilitário,1999,233000,3.0 - 3.9,Diesel,Não,Manual,Hidráulica,Branco,4 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/hilux-sw4-turbo-diesel-3-0-1093446037;09/11/2022
Publicado em 04/10 às 21:22;cód. 1092672930;14.000;Aceita troca,IPVA pago;Carros, vans e utilitários,FORD COURIER SI 1.4I 16V,FORD,Pick-up,1999,120000,1.4,Gasolina,Não,Manual,Hidráulica,Vermelho,2 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-1092672930;09/11/2022
Publicado em 04/10 às 01:43;cód. 1092348750;16.998;Não aceita troca;Carros, vans e utilitários,VW - VOLKSWAGEN SAVEIRO CL 1.6 MI / CL/ C 1.6,VW - VOLKSWAGEN,Pick-up,1999,249000,1.6,Gasolina,Não,Manual,Mecânica,Verde,2 portas,5;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Desterro do Melo;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/saveiro-99-1092348750;09/11/2022
Publicado em 30/09 às 20:50;cód. 1091330686;38.500;Aceita troca;Carros, vans e utilitários,GM - CHEVROLET S10 P-UP LUXE 2.5 4X4 CD TB MAX HST DIES,GM - CHEVROLET,1999,111111,Diesel,Manual,4 portas,4;Categoria,Modelo,Marca,Ano,Quilometragem,Combustível,Câmbio,Portas,Final de placa;;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/s10-dlx-4x4-1091330686;09/11/2022
Publicado em 28/09 às 23:04;cód. 1090498733;45.000;Aceita troca,Único dono;Carros, vans e utilitários,VW - VOLKSWAGEN FUSCA 2.0 TSI 16V MEC.,VW - VOLKSWAGEN,Hatch,1999,441842,2.0 - 2.9,Gasolina,Não,Manual,Hidráulica,Prata,2 portas,8;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Air bag,Trava elétrica,Alarme,Som,Sensor de ré;Particular;Mercês;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fusca-new-beetle-personalizado-colecionadores-unico-dono-1090498733;09/11/2022
Publicado em 28/09 às 13:59;cód. 1090276431;11.500;Aceita troca,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN GOL 1.0 PLUS 16V 4P,VW - VOLKSWAGEN,Hatch,1999,168000,1.0,Gasolina,Não,Manual,Mecânica,Verde,4 portas,6;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Senador Cortes;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/gol-g3-1090276431;09/11/2022
Publicado em 27/09 às 15:58;cód. 1089834705;4.000;Aceita troca,Com multa,Único dono;Carros, vans e utilitários,VW - VOLKSWAGEN POINTER 1.8 / CLI,VW - VOLKSWAGEN,Van/Utilitário,1999,22860,1.8,Gasolina,Não,Manual,Elétrica,Prata,2 portas,6;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Ar condicionado,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/carro-pointer-1089834705;09/11/2022
Publicado em 25/09 às 18:39;cód. 1088959583;25.000;Aceita troca,IPVA pago;Carros, vans e utilitários,DODGE DAKOTA CLUB 2.5,DODGE,Pick-up,1999,80000,2.0 - 2.9,Gasolina,Sim,Manual,Hidráulica,Vermelho,2 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Barbacena;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/dodge-dakota-2-5-gasolina-gas-1088959583;09/11/2022
Publicado em 19/09 às 17:32;cód. 1086331099;13.000;Não aceita troca;Carros, vans e utilitários,VW - VOLKSWAGEN KOMBI LOTAÇÃO 1.6 MPI,VW - VOLKSWAGEN,Van/Utilitário,1999,99999,1.6,Gasolina,Não,Manual,Branco,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Cor,Final de placa;;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/kombi-1999-1-6-1086331099;09/11/2022
Publicado em 18/09 às 16:46;cód. 1085908111;9.500;Aceita troca,IPVA pago;Carros, vans e utilitários,GM - CHEVROLET CORSA SEDAN SUPER 1.0 MPFI 4P,GM - CHEVROLET,Sedã,1999,192000,1.0,Gasolina,Não,Manual,Mecânica,Vermelho,4 portas,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;São Geraldo;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/corsa-sedan-super-98-99-1085908111;09/11/2022
Publicado em 17/09 às 11:04;cód. 1085497636;28.000;Não aceita troca;Carros, vans e utilitários,SUZUKI GRAND VITARA 2.0 16V 4X2/4X4 5P MEC.,SUZUKI,SUV,1999,235000,2.0 - 2.9,Gasolina,Não,Manual,Hidráulica,Preto,4 portas,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Rio Novo;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/grand-vitara-4x4-1085497636;09/11/2022
Publicado em 16/09 às 10:11;cód. 1085049345;23.700;Aceita troca;Carros, vans e utilitários,GM - CHEVROLET BLAZER S-10 4.3 V6,GM - CHEVROLET,SUV,1999,200000,4.0 ou mais,Gasolina,Sim,Automático,Hidráulica,Verde,4 portas,6;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Ar condicionado,Alarme,Som,Sensor de ré,Câmera de ré;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/blazer-99-1085049345;09/11/2022
Publicado em 13/09 às 12:58;cód. 1083660150;16.000;IPVA pago,Não aceita troca;Carros, vans e utilitários,FIAT STRADA ADVENTURE 1.6 MPI 16V CE,FIAT,Pick-up,1999,122000,1.5,Gasolina,Não,Manual,Mecânica,Amarelo,7;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Final de placa;Vidro elétrico,Ar condicionado;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/estrada-1999-1083660150;09/11/2022
